seed,method,eta2,R2_perm,p_perm,r_pre_post,r_within,age_R2,age_R2_gain,n
11,LME,0.0023745840024167932,0.0023745840024169715,1.0,0.7842785670430534,1.0,0.028816655151370222,0.01476341255479638,75
12,Original,0.40031454392567234,0.4003145439256724,0.001,1.0,1.0,0.008630257944524284,0.0,75
12,ComBat,0.0012377294871160258,0.0012377294871157574,1.0,0.7367339288220129,0.9990491596257177,0.005235098724664482,-0.0033951592198598023,75
12,ComBat-joint,0.003139108417554818,0.003139108417554629,1.0,0.766439743128438,0.9994680057622225,0.005426981028049836,-0.003203276916474448,75
12,CovBat,0.0023203048053324713,0.002320304805332587,1.0,0.7373428926172525,0.9639113134332131,0.0053226231115741235,-0.0033076348329501605,75
12,RELIEF,0.002924406759111718,0.0029244067591118516,1.0,0.7463486084653316,0.9667615140056753,0.005556300936472208,-0.003073957008052076,75
12,LME,0.0020148652405640737,0.0020148652405636842,1.0,0.7676133388339268,1.0,0.006196924351103646,-0.0024333335934206383,75
13,Original,0.38367155579649403,0.38367155579649403,0.001,1.0,1.0,0.011416912780646538,0.0,75
13,ComBat,0.0008102948485878036,0.000810294848587887,1.0,0.7468011294139562,0.9986939443090757,0.006555493699951752,-0.004861419080694786,75
13,ComBat-joint,0.0018386376906526262,0.001838637690652452,1.0,0.7772394900258466,0.9993095549926431,0.007378846711723702,-0.004038066068922836,75
13,CovBat,0.001619782681057266,0.001619782681057321,1.0,0.7569709184597833,0.9811569891289117,0.006455631137691964,-0.004961281642954575,75
13,RELIEF,0.0016666217154734566,0.0016666217154736765,1.0,0.7640175381957138,0.9840326302261954,0.0074737622796234434,-0.003943150501023095,75
13,LME,0.003073440653297784,0.0030734406532978184,1.0,0.7758663718457113,1.0,0.008002467476883176,-0.003414445303763362,75
14,Original,0.3826741042684774,0.3826741042684772,0.001,1.0,1.0,0.027664333308183166,0.0,75
14,ComBat,0.00044943205190893173,0.0004494320519088055,1.0,0.7485408128203559,0.9978406843691664,0.03619348338025777,0.008529150072074602,75
14,ComBat-joint,0.0014694335577618931,0.0014694335577617795,1.0,0.7789169434647565,0.9987314612353305,0.03776850531481741,0.010104172006634243,75
14,CovBat,0.0011079611211715673,0.0011079611211715701,1.0,0.7572870976009733,0.9660997200129958,0.039498104284499846,0.01183377097631668,75
14,RELIEF,0.0011720630166732922,0.0011720630166733295,1.0,0.759874274777401,0.9687982404502568,0.04004644275398872,0.012382109445805554,75
14,LME,0.0006032757577443952,0.0006032757577442757,1.0,0.7796243293169824,1.0,0.043985164227744816,0.01632083091956165,75
15,Original,0.3837873145390689,0.38378731453906895,0.001,1.0,1.0,0.010363459716225454,0.0,75
15,ComBat,0.0003641569039767891,0.0003641569039767016,1.0,0.7269658197477664,0.9961462523759744,0.008145056875060095,-0.002218402841165359,75
15,ComBat-joint,0.0018528564794818743,0.001852856479481678,1.0,0.7684985174751906,0.9983049382878826,0.008928099157888662,-0.0014353605583367918,75
15,CovBat,0.0015206250890622331,0.0015206250890618853,0.999,0.7444265428665262,0.9699018397672189,0.009464664829339033,-0.0008987948868864216,75
