cohort,method,biomarker,n,vendor_F,vendor_p,vendor_eta2,vendor_ICC,age_R2,sex_R2,r_pre_post
HC,CovBat,T2w_CSA,188,0.03445677992902267,0.9661362937839347,0.00037236702011409964,-0.01564871376947763,4.997713538235082e-06,0.12791177611782956,0.9399123657372509
HC,CovBat,GM_CSA_mm2,188,0.019488213888989157,0.9807024667853614,0.00021063901525197572,-0.01589516785427131,3.692531600818505e-06,0.10982901483903862,0.8584939234860092
HC,CovBat,MTR,188,0.03908740155380339,0.9616745940463379,0.00042238801625727514,-0.015572495838618815,1.3321430476498364e-06,0.0010930883286737192,0.7713168250893622
HC,CovBat,MTsat,188,0.014366139115117355,0.9857376610438022,0.00015528549472538055,-0.015979529136426723,1.2011631674857526e-06,0.005498878225663639,0.7933877942942643
HC,CovBat,FA,188,0.03724049625027175,0.9634516232793862,0.00040243793796490405,-0.015602893690471674,0.00035740345872714574,0.012258549257001539,0.837696359929258
HC,CovBat,MD,188,0.008714983070553971,0.9913232892735697,9.420715737050793e-05,-0.016072620718572725,0.02212427061080191,0.00892963577853445,0.7162959010942435
HC,CovBat,AD,188,0.02099522159813611,0.9792259765274272,0.00022692386250114353,-0.0158703498954968,0.039278714353942146,0.006218366871972414,0.5251350273574759
HC,CovBat,RD,188,0.013518094307744767,0.9865738392234173,0.00014612020584888982,-0.015993497903988293,0.014614501657948642,0.009748348065460655,0.8146865642828561
HC,RELIEF,T2w_CSA,188,0.12040234010466198,0.8866330790440529,0.0012999548378395196,-0.01423595056433154,4.296084978294701e-05,0.1316630992492014,0.9429075478872014
HC,RELIEF,GM_CSA_mm2,188,0.05048336291553705,0.9507828397589181,0.0005454683874267581,-0.015384972193779883,2.2165349175207183e-05,0.11317185729784662,0.866251819761355
HC,RELIEF,MTR,188,0.05743426093526449,0.9442007868374964,0.0006205256378795838,-0.015270627273620385,0.00018430852627215888,0.0008968725942788414,0.8039654838090604
HC,RELIEF,MTsat,188,0.029101373947260076,0.9713224386978333,0.00031451050010363363,-0.015736875589482956,3.3932525769664323e-05,0.005774876950196184,0.7988046994646236
HC,RELIEF,FA,188,0.02055727987023716,0.9796548180192517,0.0002221914834348985,-0.015877561956404877,0.0008878571256074608,0.013704307538273341,0.8399899264088716
HC,RELIEF,MD,188,0.007207428852437983,0.9928187611382008,7.79120789910442e-05,-0.01609745756541818,0.020670238955568854,0.008856368163932649,0.7211093699463792
HC,RELIEF,AD,188,0.03281984234493545,0.9677185178549483,0.00035468326158065146,-0.015675659756322274,0.034033020566008876,0.005553747325666714,0.5309763970931795
HC,RELIEF,RD,188,0.004915225032275098,0.9950969648657134,5.313474446539364e-05,-0.01613522378451694,0.014742517715206405,0.010195275973919116,0.8212660832598914
HC,LME,T2w_CSA,188,0.38961145780865447,0.6778744197557586,0.004194349095599623,-0.009836048191078986,2.619700679717951e-07,0.12298709291710441,0.9860140945608228
HC,LME,GM_CSA_mm2,188,0.04708539232714839,0.9540173582927947,0.0005087722873988335,-0.015440879477914974,1.4362368064846365e-05,0.10334943406771047,0.9169238074003966
HC,LME,MTR,188,0.009358229519830806,0.9906858913809362,0.0001011598145196557,-0.0160620236493455,0.0053401650377118415,7.500929389681055e-05,0.8910473857411793
HC,LME,MTsat,188,0.004418343964646217,0.9955915076117665,4.77635992284938e-05,-0.016143410738820765,4.8711001496615225e-05,0.007912889698643788,0.8115801729906152
HC,LME,FA,188,0.011862209395270417,0.9882086208134232,0.0001282236581555448,-0.016020774305274262,0.0006805001032779145,0.014536292433454445,0.8381343104840966
HC,LME,MD,188,0.029724327511353423,0.9707177305779807,0.00032124085235724987,-0.01572661961021689,0.020941755642012838,0.010796427539176534,0.723001368358394
HC,LME,AD,188,0.04931245791556775,0.9518961672432271,0.0005328236008019318,-0.015404236561901354,0.03060641494921945,0.004587154175078378,0.5344058233557892
HC,LME,RD,188,0.04692083765387128,0.9541742794799807,0.0005069951245182962,-0.015443587075202917,0.014219599721541964,0.012716382084655975,0.8286033913631181
