cohort,method,task,repeat,auc
ALL,LME,pathology,14,0.6216067498165812
ALL,LME,pathology,15,0.6346294937637563
ALL,LME,pathology,16,0.6087674247982391
ALL,LME,pathology,17,0.6099596478356566
ALL,LME,pathology,18,0.6093176815847395
ALL,LME,pathology,19,0.620964783565664
ALL,Original,sex,0,0.6665119363395225
ALL,Original,sex,1,0.6690981432360743
ALL,Original,sex,2,0.6514588859416446
ALL,Original,sex,3,0.6480769230769231
ALL,Original,sex,4,0.6687665782493369
ALL,Original,sex,5,0.6647214854111405
ALL,Original,sex,6,0.6661140583554377
ALL,Original,sex,7,0.6517241379310346
ALL,Original,sex,8,0.6543103448275862
ALL,Original,sex,9,0.6439655172413793
ALL,Original,sex,10,0.6520557029177717
ALL,Original,sex,11,0.6667771883289124
ALL,Original,sex,12,0.616710875331565
ALL,Original,sex,13,0.6189655172413794
ALL,Original,sex,14,0.6166445623342175
ALL,Original,sex,15,0.624867374005305
ALL,Original,sex,16,0.6059681697612732
ALL,Original,sex,17,0.6646551724137931
ALL,Original,sex,18,0.6224801061007957
ALL,Original,sex,19,0.6515915119363395
ALL,ComBat,sex,0,0.6677055702917772
ALL,ComBat,sex,1,0.6815649867374005
ALL,ComBat,sex,2,0.6631962864721486
ALL,ComBat,sex,3,0.6461538461538462
ALL,ComBat,sex,4,0.6651856763925729
ALL,ComBat,sex,5,0.6737400530503977
ALL,ComBat,sex,6,0.6757957559681698
ALL,ComBat,sex,7,0.6696286472148542
ALL,ComBat,sex,8,0.686870026525199
ALL,ComBat,sex,9,0.6808355437665782
ALL,ComBat,sex,10,0.6637931034482759
ALL,ComBat,sex,11,0.6692970822281168
ALL,ComBat,sex,12,0.6663129973474801
ALL,ComBat,sex,13,0.6442307692307693
ALL,ComBat,sex,14,0.6689655172413792
ALL,ComBat,sex,15,0.6509283819628647
ALL,ComBat,sex,16,0.621419098143236
ALL,ComBat,sex,17,0.6754641909814324
ALL,ComBat,sex,18,0.6526525198938993
ALL,ComBat,sex,19,0.6816976127320956
ALL,ComBat-joint,sex,0,0.6644562334217506
ALL,ComBat-joint,sex,1,0.6792440318302387
ALL,ComBat-joint,sex,2,0.6665119363395224
ALL,ComBat-joint,sex,3,0.639920424403183
ALL,ComBat-joint,sex,4,0.6596816976127321
ALL,ComBat-joint,sex,5,0.6792440318302386
ALL,ComBat-joint,sex,6,0.6789787798408488
ALL,ComBat-joint,sex,7,0.665318302387268
ALL,ComBat-joint,sex,8,0.6818302387267905
ALL,ComBat-joint,sex,9,0.6739389920424402
ALL,ComBat-joint,sex,10,0.6655835543766578
ALL,ComBat-joint,sex,11,0.6671087533156499
ALL,ComBat-joint,sex,12,0.6677055702917772
ALL,ComBat-joint,sex,13,0.6375331564986737
ALL,ComBat-joint,sex,14,0.6598806366047745
ALL,ComBat-joint,sex,15,0.6453580901856764
ALL,ComBat-joint,sex,16,0.623076923076923
ALL,ComBat-joint,sex,17,0.6744031830238726
ALL,ComBat-joint,sex,18,0.6533819628647214
ALL,ComBat-joint,sex,19,0.6864721485411139
ALL,CovBat,sex,0,0.6651856763925729
ALL,CovBat,sex,1,0.680106100795756
ALL,CovBat,sex,2,0.6786472148541114
ALL,CovBat,sex,3,0.6413129973474802
ALL,CovBat,sex,4,0.65815649867374
ALL,CovBat,sex,5,0.6692970822281167
ALL,CovBat,sex,6,0.6655835543766577
ALL,CovBat,sex,7,0.6728779840848808
ALL,CovBat,sex,8,0.6720159151193634
ALL,CovBat,sex,9,0.665053050397878
ALL,CovBat,sex,10,0.6755968169761273
ALL,CovBat,sex,11,0.6490053050397878
ALL,CovBat,sex,12,0.6354111405835544
ALL,CovBat,sex,13,0.6431034482758621
ALL,CovBat,sex,14,0.690716180371353
ALL,CovBat,sex,15,0.6461538461538463
ALL,CovBat,sex,16,0.6299071618037135
ALL,CovBat,sex,17,0.6553050397877984
ALL,CovBat,sex,18,0.6587533156498674
ALL,CovBat,sex,19,0.6782493368700265
ALL,RELIEF,sex,0,0.6770557029177718
ALL,RELIEF,sex,1,0.6902519893899205
ALL,RELIEF,sex,2,0.6822944297082228
ALL,RELIEF,sex,3,0.6486074270557028
ALL,RELIEF,sex,4,0.6699602122015915
ALL,RELIEF,sex,5,0.689920424403183
ALL,RELIEF,sex,6,0.6873342175066314
ALL,RELIEF,sex,7,0.6819628647214854
ALL,RELIEF,sex,8,0.6688992042440318
ALL,RELIEF,sex,9,0.6760610079575597
ALL,RELIEF,sex,10,0.6750663129973474
ALL,RELIEF,sex,11,0.668368700265252
ALL,RELIEF,sex,12,0.6513262599469496
ALL,RELIEF,sex,13,0.6434350132625994
ALL,RELIEF,sex,14,0.7006631299734749
ALL,RELIEF,sex,15,0.6492705570291777
ALL,RELIEF,sex,16,0.6293766578249336
ALL,RELIEF,sex,17,0.6631299734748011
ALL,RELIEF,sex,18,0.6757294429708222
ALL,RELIEF,sex,19,0.6692970822281167
ALL,LME,sex,0,0.6636604774535809
ALL,LME,sex,1,0.6775198938992042
ALL,LME,sex,2,0.6723474801061008
ALL,LME,sex,3,0.6528514588859418
ALL,LME,sex,4,0.6755968169761274
ALL,LME,sex,5,0.6818302387267904
ALL,LME,sex,6,0.6828249336870026
ALL,LME,sex,7,0.6676392572944296
ALL,LME,sex,8,0.688395225464191
ALL,LME,sex,9,0.6746021220159152
ALL,LME,sex,10,0.6827586206896552
ALL,LME,sex,11,0.670159151193634
